n1, 1.5, n2, 1, n1 / n2, 1.5
Critical Angle (rad), 0.729728 , 0
Brewster Angle (rad), 0.588003 , 0
angle (rad), r_{TE}, t_{TE}, r_{TM}, t_{TM}
0 , 0.2 , 1.2 , 0.2 , 1.2
0.00785398 , 0.200019 , 1.20002 , 0.199981 , 1.20003
0.015708 , 0.200074 , 1.20007 , 0.199926 , 1.20011
0.0235619 , 0.200167 , 1.20017 , 0.199833 , 1.20025
0.0314159 , 0.200296 , 1.2003 , 0.199704 , 1.20044
0.0392699 , 0.200464 , 1.20046 , 0.199536 , 1.2007
0.0471239 , 0.200668 , 1.20067 , 0.199332 , 1.201
0.0549779 , 0.20091 , 1.20091 , 0.19909 , 1.20137
0.0628319 , 0.20119 , 1.20119 , 0.198809 , 1.20179
0.0706858 , 0.201508 , 1.20151 , 0.198491 , 1.20226
0.0785398 , 0.201865 , 1.20186 , 0.198134 , 1.2028
0.0863938 , 0.20226 , 1.20226 , 0.197738 , 1.20339
0.0942478 , 0.202694 , 1.20269 , 0.197303 , 1.20405
0.102102 , 0.203168 , 1.20317 , 0.196828 , 1.20476
0.109956 , 0.203682 , 1.20368 , 0.196313 , 1.20553
0.11781 , 0.204236 , 1.20424 , 0.195756 , 1.20637
0.125664 , 0.204831 , 1.20483 , 0.195159 , 1.20726
0.133518 , 0.205468 , 1.20547 , 0.19452 , 1.20822
0.141372 , 0.206147 , 1.20615 , 0.193837 , 1.20924
0.149226 , 0.206869 , 1.20687 , 0.193112 , 1.21033
0.15708 , 0.207634 , 1.20763 , 0.192342 , 1.21149
0.164934 , 0.208443 , 1.20844 , 0.191527 , 1.21271
0.172788 , 0.209298 , 1.2093 , 0.190666 , 1.214
0.180642 , 0.210199 , 1.2102 , 0.189758 , 1.21536
0.188496 , 0.211146 , 1.21115 , 0.188802 , 1.2168
0.19635 , 0.212142 , 1.21214 , 0.187796 , 1.21831
0.204204 , 0.213186 , 1.21319 , 0.186741 , 1.21989
0.212058 , 0.214281 , 1.21428 , 0.185634 , 1.22155
0.219911 , 0.215427 , 1.21543 , 0.184474 , 1.22329
0.227765 , 0.216625 , 1.21662 , 0.183259 , 1.22511
0.235619 , 0.217877 , 1.21788 , 0.181989 , 1.22702
0.243473 , 0.219184 , 1.21918 , 0.180661 , 1.22901
0.251327 , 0.220548 , 1.22055 , 0.179274 , 1.23109
0.259181 , 0.221971 , 1.22197 , 0.177827 , 1.23326
